 Nascidos vivos - Paraíba
Nascim p/resid.mãe por Município
Período:2013
"Município";"Nascim_p/resid.mãe"
"250010 Água Branca";88
"250020 Aguiar";54
"250030 Alagoa Grande";405
"250040 Alagoa Nova";329
"250050 Alagoinha";230
"250053 Alcantil";88
"250057 Algodão de Jandaíra";39
"250060 Alhandra";381
"250073 Amparo";35
"250077 Aparecida";101
"250080 Araçagi";200
"250090 Arara";151
"250100 Araruna";265
"250110 Areia";362
"250115 Areia de Baraúnas";33
"250120 Areial";97
"250130 Aroeiras";288
"250135 Assunção";67
"250140 Baía da Traição";146
"250150 Bananeiras";283
"250153 Baraúna";65
"250160 Barra de Santa Rosa";170
"250157 Barra de Santana";105
"250170 Barra de São Miguel";86
"250180 Bayeux";1395
"250190 Belém";240
"250200 Belém do Brejo do Cruz";104
"250205 Bernardino Batista";47
"250210 Boa Ventura";50
"250215 Boa Vista";85
"250220 Bom Jesus";38
"250230 Bom Sucesso";45
"250240 Bonito de Santa Fé";155
"250250 Boqueirão";254
"250270 Borborema";71
"250280 Brejo do Cruz";155
"250290 Brejo dos Santos";76
"250300 Caaporã";443
"250310 Cabaceiras";70
"250320 Cabedelo";965
"250330 Cachoeira dos Índios";135
"250340 Cacimba de Areia";41
"250350 Cacimba de Dentro";208
"250355 Cacimbas";133
"250360 Caiçara";105
"250370 Cajazeiras";892
"250375 Cajazeirinhas";58
"250380 Caldas Brandão";87
"250390 Camalaú";85
"250400 Campina Grande";6098
"250403 Capim";105
"250407 Caraúbas";59
"250410 Carrapateira";22
"250415 Casserengue";81
"250420 Catingueira";61
"250430 Catolé do Rocha";394
"250435 Caturité";78
"250440 Conceição";254
"250450 Condado";80
"250460 Conde";489
"250470 Congo";88
"250480 Coremas";190
"250485 Coxixola";14
"250490 Cruz do Espírito Santo";284
"250500 Cubati";102
"250510 Cuité";255
"250523 Cuité de Mamanguape";84
"250520 Cuitegi";109
"250527 Curral de Cima";76
"250530 Curral Velho";32
"250535 Damião";66
"250540 Desterro";115
"250560 Diamante";72
"250570 Dona Inês";133
"250580 Duas Estradas";52
"250590 Emas";36
"250600 Esperança";514
"250610 Fagundes";190
"250620 Frei Martinho";32
"250625 Gado Bravo";126
"250630 Guarabira";915
"250640 Gurinhém";214
"250650 Gurjão";33
"250660 Ibiara";67
"250260 Igaracy";68
