 Óbitos infantis - Paraíba
Óbitos p/Residênc por Município e Faixa etária 1
Período:2013
"Município";"0 a 6 dias";"7 a 27 dias";"28 a 364 dias";"Total"
"250010 Água Branca";1;-;-;1
"250020 Aguiar";-;-;1;1
"250030 Alagoa Grande";3;1;3;7
"250040 Alagoa Nova";4;-;2;6
"250050 Alagoinha";2;1;-;3
"250053 Alcantil";1;-;1;2
"250057 Algodão de Jandaíra";-;-;1;1
"250060 Alhandra";2;1;1;4
"250077 Aparecida";-;1;-;1
"250080 Araçagi";3;-;3;6
"250090 Arara";-;-;1;1
"250100 Araruna";1;1;1;3
"250110 Areia";4;2;3;9
"250120 Areial";-;-;1;1
"250130 Aroeiras";1;-;4;5
"250140 Baía da Traição";2;1;-;3
"250150 Bananeiras";1;2;-;3
"250160 Barra de Santa Rosa";2;-;1;3
"250157 Barra de Santana";-;-;1;1
"250170 Barra de São Miguel";-;-;1;1
"250180 Bayeux";7;7;8;22
"250190 Belém";2;-;1;3
"250200 Belém do Brejo do Cruz";1;-;1;2
"250205 Bernardino Batista";1;-;-;1
"250210 Boa Ventura";-;1;1;2
"250220 Bom Jesus";1;-;-;1
"250240 Bonito de Santa Fé";3;2;-;5
"250270 Borborema";1;-;1;2
"250280 Brejo do Cruz";1;-;1;2
"250300 Caaporã";4;1;1;6
"250310 Cabaceiras";2;-;-;2
"250320 Cabedelo";4;4;3;11
"250330 Cachoeira dos Índios";1;-;1;2
"250340 Cacimba de Areia";1;-;-;1
"250350 Cacimba de Dentro";1;-;-;1
"250355 Cacimbas";4;-;1;5
"250360 Caiçara";-;-;1;1
"250370 Cajazeiras";11;2;7;20
"250380 Caldas Brandão";2;-;-;2
"250400 Campina Grande";46;5;31;82
"250403 Capim";-;-;1;1
"250415 Casserengue";1;-;-;1
"250420 Catingueira";1;-;-;1
"250430 Catolé do Rocha";4;1;-;5
"250440 Conceição";5;-;1;6
"250450 Condado";2;-;-;2
"250460 Conde";1;2;3;6
"250480 Coremas";1;1;1;3
"250490 Cruz do Espírito Santo";3;-;5;8
"250500 Cubati";2;-;1;3
"250510 Cuité";1;-;1;2
"250523 Cuité de Mamanguape";1;-;-;1
"250520 Cuitegi";1;-;-;1
"250540 Desterro";1;-;1;2
"250570 Dona Inês";-;-;1;1
"250580 Duas Estradas";1;1;-;2
"250600 Esperança";4;1;2;7
"250610 Fagundes";1;1;-;2
"250630 Guarabira";4;2;3;9
"250640 Gurinhém";-;-;1;1
"250650 Gurjão";-;-;1;1
"250660 Ibiara";2;-;-;2
"250260 Igaracy";-;-;1;1
"250670 Imaculada";-;2;1;3
"250680 Ingá";2;2;1;5
"250690 Itabaiana";1;-;4;5
"250700 Itaporanga";5;2;-;7
"250710 Itapororoca";5;2;-;7
"250720 Itatuba";1;1;-;2
"250730 Jacaraú";3;1;1;5
"250740 Jericó";1;-;-;1
"250750 João Pessoa";70;34;38;142
"250760 Juarez Távora";2;1;1;4
"250770 Juazeirinho";3;2;3;8
"250780 Junco do Seridó";-;-;2;2
"250790 Juripiranga";2;-;-;2
"250800 Juru";2;1;-;3
"250810 Lagoa";1;-;-;1
"250820 Lagoa de Dentro";-;1;2;3
"250830 Lagoa Seca";6;1;2;9
"250840 Lastro";-;-;1;1
"250850 Livramento";-;-;1;1
"250860 Lucena";3;-;-;3
"250890 Mamanguape";4;3;5;12
"250900 Manaíra";1;1;-;2
"250905 Marcação";-;1;1;2
"250910 Mari";1;1;2;4
"250930 Mataraca";1;-;-;1
"250933 Matinhas";2;-;-;2
"250937 Mato Grosso";1;-;-;1
"250939 Maturéia";2;-;1;3
"250940 Mogeiro";1;-;1;2
"250950 Montadas";3;-;1;4
"250970 Monteiro";2;1;3;6
"250980 Mulungu";1;-;1;2
"250990 Natuba";1;-;2;3
"251000 Nazarezinho";3;-;-;3
"251010 Nova Floresta";1;-;1;2
"251020 Nova Olinda";1;-;-;1
"251040 Olho d'Água";2;1;-;3
"251070 Passagem";2;-;1;3
"251080 Patos";17;6;1;24
"251090 Paulista";1;1;-;2
"251110 Pedra Lavrada";1;1;-;2
"251120 Pedras de Fogo";1;2;1;4
"251272 Pedro Régis";1;-;1;2
"251130 Piancó";1;2;2;5
"251140 Picuí";2;-;2;4
"251150 Pilar";1;1;-;2
"251160 Pilões";3;-;-;3
"251180 Pirpirituba";-;-;1;1
"251190 Pitimbu";2;1;1;4
"251200 Pocinhos";2;-;2;4
"251203 Poço Dantas";-;-;4;4
"251207 Poço de José de Moura";1;-;1;2
"251210 Pombal";2;1;2;5
"251220 Prata";1;-;-;1
"251230 Princesa Isabel";1;2;3;6
"251240 Puxinanã";1;-;1;2
"251250 Queimadas";6;2;-;8
"251270 Remígio";1;-;-;1
"251275 Riachão do Bacamarte";1;-;1;2
"251276 Riachão do Poço";1;-;-;1
"251278 Riacho de Santo Antônio";-;1;-;1
"251290 Rio Tinto";2;1;2;5
"251300 Salgadinho";1;-;-;1
"251310 Salgado de São Félix";2;1;1;4
"251315 Santa Cecília";-;-;1;1
"251320 Santa Cruz";2;-;-;2
"251340 Santa Luzia";1;-;-;1
"251370 Santa Rita";18;3;17;38
"251350 Santana de Mangueira";-;1;-;1
"251360 Santana dos Garrotes";1;-;-;1
"251390 São Bento";7;-;3;10
"251398 São Francisco";-;-;1;1
"251400 São João do Cariri";-;-;1;1
"250070 São João do Rio do Peixe";1;-;-;1
"251410 São João do Tigre";2;-;-;2
"251420 São José da Lagoa Tapada";1;-;1;2
"251430 São José de Caiana";1;-;1;2
"251440 São José de Espinharas";1;-;-;1
"251450 São José de Piranhas";2;-;2;4
"251455 São José de Princesa";1;-;1;2
"251470 São José do Sabugi";-;1;-;1
"251480 São José dos Cordeiros";-;-;1;1
"251445 São José dos Ramos";2;-;2;4
"251490 São Mamede";1;1;-;2
"251500 São Miguel de Taipu";1;-;-;1
"251510 São Sebastião de Lagoa de Roça";2;-;-;2
"251520 São Sebastião do Umbuzeiro";-;1;-;1
"251540 São Vicente do Seridó";1;2;-;3
"251530 Sapé";4;2;4;10
"251550 Serra Branca";-;1;1;2
"251580 Serra Redonda";-;-;1;1
"251593 Sertãozinho";-;-;1;1
"251600 Solânea";4;5;3;12
"251610 Soledade";1;-;1;2
"251615 Sossêgo";1;-;-;1
"251620 Sousa";9;2;2;13
"251630 Sumé";-;1;2;3
"251640 Tacima";1;-;-;1
"251650 Taperoá";2;-;3;5
"251660 Tavares";2;1;-;3
"251670 Teixeira";4;3;-;7
"251675 Tenório";-;-;1;1
"251680 Triunfo";-;1;-;1
"251690 Uiraúna";3;-;1;4
"251700 Umbuzeiro";-;-;1;1
"250000 Município ignorado - PB";1;1;-;2
"Total";421;147;260;828
 Fonte: MS/SVS/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Consulte o site da Secretaria Estadual de Saúde para mais informações.
 Nota:
 
 Em 2011, houve uma mudança no conteúdo da Declaração de Óbito, com maior detalhamento das informações coletadas. Para este ano, foram
 utilizados simultaneamente os dois formulários. Para mais detalhes sobre as mudanças ocorridas e os seus efeitos, veja o documento
 "Sistema de Informações sobre Mortalidade - SIM. Consolidação da base de dados de 2011".
 
