 Nascidos vivos - Paraíba
Nascim p/resid.mãe por Município
Período:2011
"Município";"Nascim_p/resid.mãe"
"250010 Água Branca";133
"250020 Aguiar";68
"250030 Alagoa Grande";474
"250040 Alagoa Nova";352
"250050 Alagoinha";191
"250053 Alcantil";105
"250057 Algodão de Jandaíra";53
"250060 Alhandra";389
"250073 Amparo";43
"250077 Aparecida";101
"250080 Araçagi";210
"250090 Arara";182
"250100 Araruna";251
"250110 Areia";383
"250115 Areia de Baraúnas";29
"250120 Areial";87
"250130 Aroeiras";325
"250135 Assunção";67
"250140 Baía da Traição";194
"250150 Bananeiras";327
"250153 Baraúna";54
"250160 Barra de Santa Rosa";191
"250157 Barra de Santana";123
"250170 Barra de São Miguel";88
"250180 Bayeux";1415
"250190 Belém";248
"250200 Belém do Brejo do Cruz";79
"250205 Bernardino Batista";55
"250210 Boa Ventura";81
"250215 Boa Vista";111
"250220 Bom Jesus";39
"250230 Bom Sucesso";53
"250240 Bonito de Santa Fé";218
"250250 Boqueirão";343
"250270 Borborema";72
"250280 Brejo do Cruz";162
"250290 Brejo dos Santos";90
"250300 Caaporã";402
"250310 Cabaceiras";70
"250320 Cabedelo";925
"250330 Cachoeira dos Índios";155
"250340 Cacimba de Areia";48
"250350 Cacimba de Dentro";206
"250355 Cacimbas";132
"250360 Caiçara";98
"250370 Cajazeiras";879
"250375 Cajazeirinhas";71
"250380 Caldas Brandão";73
"250390 Camalaú";86
"250400 Campina Grande";6151
"250403 Capim";92
"250407 Caraúbas";56
"250410 Carrapateira";26
"250415 Casserengue";94
"250420 Catingueira";77
"250430 Catolé do Rocha";408
"250435 Caturité";74
"250440 Conceição";231
"250450 Condado";118
"250460 Conde";452
"250470 Congo";77
"250480 Coremas";203
"250485 Coxixola";16
"250490 Cruz do Espírito Santo";271
"250500 Cubati";102
"250510 Cuité";256
"250523 Cuité de Mamanguape";90
"250520 Cuitegi";87
"250527 Curral de Cima";95
"250530 Curral Velho";26
"250535 Damião";66
"250540 Desterro";132
"250560 Diamante";92
"250570 Dona Inês";153
"250580 Duas Estradas";50
"250590 Emas";54
"250600 Esperança";531
"250610 Fagundes";171
"250620 Frei Martinho";31
"250625 Gado Bravo";136
"250630 Guarabira";852
"250640 Gurinhém";180
"250650 Gurjão";41
"250660 Ibiara";75
"250260 Igaracy";72
"250670 Imaculada";133
"250680 Ingá";235
"250690 Itabaiana";323
"250700 Itaporanga";326
"250710 Itapororoca";233
"250720 Itatuba";166
"250730 Jacaraú";211
"250740 Jericó";103
"250750 João Pessoa";11641
"251365 Joca Claudino";30
"250760 Juarez Távora";132
"250770 Juazeirinho";329
"250780 Junco do Seridó";104
"250790 Juripiranga";187
"250800 Juru";136
"250810 Lagoa";72
"250820 Lagoa de Dentro";113
"250830 Lagoa Seca";438
"250840 Lastro";49
"250850 Livramento";91
"250855 Logradouro";50
"250860 Lucena";244
"250870 Mãe d'Água";50
"250880 Malta";62
"250890 Mamanguape";798
"250900 Manaíra";187
"250905 Marcação";155
"250910 Mari";265
"250915 Marizópolis";79
"250920 Massaranduba";194
"250930 Mataraca";162
"250933 Matinhas";71
"250937 Mato Grosso";30
"250939 Maturéia";83
"250940 Mogeiro";183
"250950 Montadas";79
"250960 Monte Horebe";89
"250970 Monteiro";469
"250980 Mulungu";125
"250990 Natuba";138
"251000 Nazarezinho";89
"251010 Nova Floresta";156
"251020 Nova Olinda";106
"251030 Nova Palmeira";45
"251040 Olho d'Água";91
"251050 Olivedos";42
"251060 Ouro Velho";50
"251065 Parari";25
"251070 Passagem";36
"251080 Patos";1518
"251090 Paulista";170
"251100 Pedra Branca";53
"251110 Pedra Lavrada";101
"251120 Pedras de Fogo";488
"251272 Pedro Régis";84
"251130 Piancó";215
"251140 Picuí";287
"251150 Pilar";193
"251160 Pilões";158
"251170 Pilõezinhos";74
"251180 Pirpirituba";133
"251190 Pitimbu";274
"251200 Pocinhos";285
"251203 Poço Dantas";74
"251207 Poço de José de Moura";55
"251210 Pombal";430
"251220 Prata";60
"251230 Princesa Isabel";358
"251240 Puxinanã";194
"251250 Queimadas";655
"251260 Quixabá";26
"251270 Remígio";277
"251274 Riachão";55
"251275 Riachão do Bacamarte";62
"251276 Riachão do Poço";65
"251278 Riacho de Santo Antônio";42
"251280 Riacho dos Cavalos";115
"251290 Rio Tinto";348
"251300 Salgadinho";47
"251310 Salgado de São Félix";131
"251315 Santa Cecília";89
"251320 Santa Cruz";75
"251330 Santa Helena";74
"251335 Santa Inês";60
"251340 Santa Luzia";208
"251370 Santa Rita";2383
"251380 Santa Teresinha";68
"251350 Santana de Mangueira";67
"251360 Santana dos Garrotes";67
"251385 Santo André";30
"251392 São Bentinho";62
"251390 São Bento";460
"251396 São Domingos";46
"251394 São Domingos do Cariri";40
"251398 São Francisco";47
"251400 São João do Cariri";41
"250070 São João do Rio do Peixe";230
"251410 São João do Tigre";63
"251420 São José da Lagoa Tapada";114
"251430 São José de Caiana";95
"251440 São José de Espinharas";63
"251450 São José de Piranhas";265
"251455 São José de Princesa";48
"251460 São José do Bonfim";56
"251465 São José do Brejo do Cruz";24
"251470 São José do Sabugi";46
"251480 São José dos Cordeiros";61
"251445 São José dos Ramos";86
"251490 São Mamede";120
"251500 São Miguel de Taipu";104
"251510 São Sebastião de Lagoa de Roça";161
"251520 São Sebastião do Umbuzeiro";49
"251540 São Vicente do Seridó";174
"251530 Sapé";779
"251550 Serra Branca";154
"251560 Serra da Raiz";34
"251570 Serra Grande";41
"251580 Serra Redonda";101
"251590 Serraria";100
"251593 Sertãozinho";58
"251597 Sobrado";117
"251600 Solânea";414
"251610 Soledade";228
"251615 Sossêgo";52
"251620 Sousa";1029
"251630 Sumé";234
"251640 Tacima";99
"251650 Taperoá";223
"251660 Tavares";226
"251670 Teixeira";234
"251675 Tenório";52
"251680 Triunfo";104
"251690 Uiraúna";204
"251700 Umbuzeiro";127
"251710 Várzea";33
"251720 Vieirópolis";48
"250550 Vista Serrana";41
"251740 Zabelê";31
"250000 Município ignorado - PB";1
"Total";58741
 Fonte: MS/SVS/DASIS - Sistema de Informações sobre Nascidos Vivos - SINASC
 Consulte o site da Secretaria Estadual de Saúde para mais informações.
 Nota:
 
 Em 2011, houve uma mudança no conteúdo da Declaração de Nascidos Vivos, com maior detalhamento das informações coletadas. Para este ano, foram
 utilizados simultaneamente os dois formulários. Para mais detalhes sobre as mudanças ocorridas e os seus efeitos, veja o documento
 "Consolidação do Sistema de Informações sobre Nascidos Vivos - 2011".
